method,model_name,task_name,seed,train_subset_size,primary_metric_name,primary_metric,trainable_parameters,trainable_percentage,epoch,eval_accuracy,eval_loss,eval_matthews_correlation,eval_primary_metric,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_correct,eval_total,eval_f1
bitfit,bert-base-uncased,sst2,123,50,accuracy,0.5068807339449541,104450,0.09540226132861436,10.0,0.5068807339449541,0.7004016637802124,,0.5068807339449541,5.6996,152.992,9.65,,,
bitfit,bert-base-uncased,sst2,123,100,accuracy,0.5309633027522935,104450,0.09540226132861436,10.0,0.5309633027522935,0.687866747379303,,0.5309633027522935,3.6818,236.842,14.938,,,
bitfit,bert-base-uncased,sst2,123,200,accuracy,0.569954128440367,104450,0.09540226132861436,10.0,0.569954128440367,0.6742035746574402,,0.569954128440367,4.1244,211.427,13.335,,,
bitfit,bert-base-uncased,sst2,123,500,accuracy,0.8222477064220184,104450,0.09540226132861436,10.0,0.8222477064220184,0.4210148751735687,,0.8222477064220184,4.6617,187.054,11.798,,,
bitfit,bert-base-uncased,sst2,123,1000,accuracy,0.8555045871559633,104450,0.09540226132861436,10.0,0.8555045871559633,0.40147632360458374,,0.8555045871559633,5.6658,153.906,9.707,,,
bitfit,bert-base-uncased,sst2,123,2000,accuracy,0.8600917431192661,104450,0.09540226132861436,10.0,0.8600917431192661,0.3698320686817169,,0.8600917431192661,2.9718,293.42,18.507,,,
bitfit,bert-base-uncased,sst2,123,5000,accuracy,0.8818807339449541,104450,0.09540226132861436,10.0,0.8818807339449541,0.32635170221328735,,0.8818807339449541,4.9583,175.868,11.093,,,
bitfit,bert-base-uncased,sst2,42,50,accuracy,0.5091743119266054,104450,0.09540226132861436,10.0,0.5091743119266054,0.8840304613113403,,0.5091743119266054,2.36,369.49,23.305,,,
bitfit,bert-base-uncased,sst2,42,100,accuracy,0.5538990825688074,104450,0.09540226132861436,10.0,0.5538990825688074,0.7334532141685486,,0.5538990825688074,3.3867,257.478,16.24,,,
bitfit,bert-base-uncased,sst2,42,200,accuracy,0.6926605504587156,104450,0.09540226132861436,10.0,0.6926605504587156,0.5858078598976135,,0.6926605504587156,5.9521,146.502,9.24,,,
bitfit,bert-base-uncased,sst2,42,500,accuracy,0.8130733944954128,104450,0.09540226132861436,10.0,0.8130733944954128,0.42107006907463074,,0.8130733944954128,4.476,194.818,12.288,,,
bitfit,bert-base-uncased,sst2,42,1000,accuracy,0.8360091743119266,104450,0.09540226132861436,10.0,0.8360091743119266,0.41047796607017517,,0.8360091743119266,6.438,135.447,8.543,,,
bitfit,bert-base-uncased,sst2,42,2000,accuracy,0.8681192660550459,104450,0.09540226132861436,10.0,0.8681192660550459,0.33540499210357666,,0.8681192660550459,3.2488,268.406,16.929,,,
bitfit,bert-base-uncased,sst2,42,5000,accuracy,0.8876146788990825,104450,0.09540226132861436,10.0,0.8876146788990825,0.34149616956710815,,0.8876146788990825,3.029,287.88,18.158,,,
bitfit,bert-base-uncased,sst2,456,50,accuracy,0.46559633027522934,104450,0.09540226132861436,10.0,0.46559633027522934,0.7330965995788574,,0.46559633027522934,1.3205,660.364,41.651,,,
bitfit,bert-base-uncased,sst2,456,100,accuracy,0.49426605504587157,104450,0.09540226132861436,10.0,0.49426605504587157,0.7233058214187622,,0.49426605504587157,6.1882,140.913,8.888,,,
bitfit,bert-base-uncased,sst2,456,200,accuracy,0.5779816513761468,104450,0.09540226132861436,10.0,0.5779816513761468,0.6820201277732849,,0.5779816513761468,4.1495,210.144,13.255,,,
bitfit,bert-base-uncased,sst2,456,500,accuracy,0.7821100917431193,104450,0.09540226132861436,10.0,0.7821100917431193,0.4709261953830719,,0.7821100917431193,3.7468,232.735,14.679,,,
bitfit,bert-base-uncased,sst2,456,1000,accuracy,0.8497706422018348,104450,0.09540226132861436,10.0,0.8497706422018348,0.3901711702346802,,0.8497706422018348,4.1011,212.623,13.411,,,
bitfit,bert-base-uncased,sst2,456,2000,accuracy,0.8600917431192661,104450,0.09540226132861436,10.0,0.8600917431192661,0.3515150547027588,,0.8600917431192661,2.9559,295.001,18.607,,,
bitfit,bert-base-uncased,sst2,456,5000,accuracy,0.8715596330275229,104450,0.09540226132861436,10.0,0.8715596330275229,0.3279794752597809,,0.8715596330275229,1.6208,538.002,33.934,,,
bitfit,bert-base-uncased,sst2,789,50,accuracy,0.5091743119266054,104450,0.09540226132861436,10.0,0.5091743119266054,0.774439811706543,,0.5091743119266054,1.9102,456.494,28.793,,,
bitfit,bert-base-uncased,sst2,789,100,accuracy,0.5091743119266054,104450,0.09540226132861436,10.0,0.5091743119266054,0.7689992785453796,,0.5091743119266054,4.1688,209.173,13.193,,,
bitfit,bert-base-uncased,sst2,789,200,accuracy,0.5298165137614679,104450,0.09540226132861436,10.0,0.5298165137614679,0.6777732968330383,,0.5298165137614679,3.9133,222.828,14.055,,,
bitfit,bert-base-uncased,sst2,789,500,accuracy,0.7924311926605505,104450,0.09540226132861436,10.0,0.7924311926605505,0.43243351578712463,,0.7924311926605505,6.8311,127.651,8.051,,,
bitfit,bert-base-uncased,sst2,789,1000,accuracy,0.8451834862385321,104450,0.09540226132861436,10.0,0.8451834862385321,0.3738349676132202,,0.8451834862385321,4.1752,208.854,13.173,,,
bitfit,bert-base-uncased,sst2,789,2000,accuracy,0.856651376146789,104450,0.09540226132861436,10.0,0.856651376146789,0.38932275772094727,,0.856651376146789,3.8566,226.104,14.261,,,
bitfit,bert-base-uncased,sst2,789,5000,accuracy,0.8910550458715596,104450,0.09540226132861436,10.0,0.8910550458715596,0.31313812732696533,,0.8910550458715596,2.7234,320.186,20.195,,,
full_ft,bert-base-uncased,sst2,1024,50,accuracy,0.533256880733945,109483778,100.0,3.0,0.533256880733945,0.691055417060852,,0.533256880733945,1.5491,562.897,35.504,,,
full_ft,bert-base-uncased,sst2,1024,100,accuracy,0.6834862385321101,109483778,100.0,3.0,0.6834862385321101,0.6066873669624329,,0.6834862385321101,4.0159,217.138,13.696,,,
full_ft,bert-base-uncased,sst2,1024,200,accuracy,0.801605504587156,109483778,100.0,3.0,0.801605504587156,0.4310969114303589,,0.801605504587156,2.9638,294.221,18.557,,,
full_ft,bert-base-uncased,sst2,1024,500,accuracy,0.8532110091743119,109483778,100.0,3.0,0.8532110091743119,0.4294113516807556,,0.8532110091743119,3.0062,290.072,18.296,,,
full_ft,bert-base-uncased,sst2,1024,1000,accuracy,0.8600917431192661,109483778,100.0,3.0,0.8600917431192661,0.5135099291801453,,0.8600917431192661,4.2724,204.099,12.873,,,
